date,count
2020-01-23,1270
2020-01-24,1325
2020-01-25,1154
2020-01-26,1228
2020-01-27,1242
2020-01-28,1220
2020-01-29,1218
2020-01-30,1188
2020-01-31,1377
2020-02-01,1294
2020-02-02,1127
2020-02-03,1311
2020-02-04,1294
2020-02-05,1287
2020-02-06,1238
2020-02-07,1299
2020-02-08,1157
2020-02-09,1137
2020-02-10,1235
2020-02-11,1210
2020-02-12,1282
2020-02-13,1164
2020-02-14,1346
2020-02-15,1127
2020-02-16,1137
2020-02-17,1225
2020-02-18,1338
2020-02-19,1246
2020-02-20,1176
2020-02-21,1210
2020-02-22,1160
2020-02-23,1179
2020-02-24,1186
2020-02-25,1201
2020-02-26,1240
2020-02-27,1197
2020-02-28,1226
2020-02-29,1101
2020-03-01,1260
2020-03-02,1244
2020-03-03,1295
2020-03-04,1300
2020-03-05,1260
2020-03-06,1197
2020-03-07,1183
2020-03-08,1142
2020-03-09,1204
2020-03-10,1320
2020-03-11,1299
2020-03-12,1189
2020-03-13,1366
2020-03-14,1193
2020-03-15,1124
2020-03-16,993
2020-03-17,970
2020-03-18,1079
2020-03-19,923
2020-03-20,1068
2020-03-21,974
2020-03-22,737
2020-03-23,759
2020-03-24,813
2020-03-25,837
2020-03-26,795
2020-03-27,897
2020-03-28,791
2020-03-29,633
2020-03-30,813
2020-03-31,762
2020-04-01,924
2020-04-02,782
2020-04-03,752
2020-04-04,726
2020-04-05,691
2020-04-06,748
2020-04-07,764
2020-04-08,856
2020-04-09,772
2020-04-10,771
2020-04-11,759
2020-04-12,802
2020-04-13,777
2020-04-14,861
2020-04-15,865
2020-04-16,756
2020-04-17,837
2020-04-18,812
2020-04-19,842
2020-04-20,928
2020-04-21,882
2020-04-22,907
2020-04-23,869
2020-04-24,803
2020-04-25,962
2020-04-26,739
2020-04-27,855
2020-04-28,961
2020-04-29,915
2020-04-30,848
2020-05-01,1113
2020-05-02,1040
2020-05-03,938
2020-05-04,983
2020-05-05,980
2020-05-06,947
2020-05-07,964
2020-05-08,984
2020-05-09,859
2020-05-10,924
2020-05-11,940
2020-05-12,997
2020-05-13,984
2020-05-14,1030
2020-05-15,1106
2020-05-16,1046
2020-05-17,923
2020-05-18,1026
2020-05-19,1058
2020-05-20,1084
2020-05-21,1130
2020-05-22,1162
2020-05-23,949
2020-05-24,912
2020-05-25,990
2020-05-26,1121
2020-05-27,1144
2020-05-28,1138
2020-05-29,1184
2020-05-30,1135
2020-05-31,1185
2020-06-01,1857
2020-06-02,1392
2020-06-03,925
2020-06-04,971
2020-06-05,918
2020-06-06,926
2020-06-07,918
2020-06-08,1030
2020-06-09,973
2020-06-10,1043
2020-06-11,981
2020-06-12,1091
2020-06-13,1049
2020-06-14,941
2020-06-15,1128
2020-06-16,957
2020-06-17,1075
2020-06-18,1026
2020-06-19,1001
2020-06-20,1089
2020-06-21,1048
2020-06-22,1124
2020-06-23,1125
2020-06-24,1186
2020-06-25,1135
2020-06-26,1218
2020-06-27,1116
2020-06-28,1035
2020-06-29,1064
2020-06-30,1108
2020-07-01,1189
2020-07-02,1146
2020-07-03,1107
2020-07-04,1065
2020-07-05,1243
2020-07-06,1131
2020-07-07,1103
2020-07-08,1133
2020-07-09,1145
2020-07-10,1091
2020-07-11,1035
2020-07-12,1199
2020-07-13,1167
2020-07-14,1174
2020-07-15,1257
2020-07-16,1135
2020-07-17,1195
2020-07-18,1121
2020-07-19,1054
2020-07-20,1105
2020-07-21,1104
2020-07-22,1129
2020-07-23,1118
2020-07-24,1109
2020-07-25,1110
2020-07-26,1129
2020-07-27,1209
2020-07-28,1218
2020-07-29,1172
2020-07-30,1102
2020-07-31,1121
2020-08-01,1388
2020-08-02,1200
2020-08-03,1213
2020-08-04,1023
2020-08-05,1185
2020-08-06,1161
2020-08-07,1183
2020-08-08,1093
2020-08-09,1181
2020-08-10,1238
2020-08-11,1188
2020-08-12,1210
2020-08-13,1213
2020-08-14,1365
2020-08-15,1186
2020-08-16,1114
2020-08-17,1230
2020-08-18,1178
2020-08-19,1191
2020-08-20,1253
2020-08-21,1322
2020-08-22,1224
2020-08-23,1162
