date,type,count
2020-01-23,HOMICIDE-NEGLIGENT,1
2020-01-23,DANGEROUS WEAPONS,29
2020-01-23,OTHER OFFENSES RELATED TO THEF,3
2020-01-23,HARRASSMENT 2,203
2020-01-23,VEHICLE AND TRAFFIC LAWS,20
2020-01-23,THEFT-FRAUD,5
2020-01-23,FORGERY,13
2020-01-23,CRIMINAL TRESPASS,6
2020-01-23,BURGLAR'S TOOLS,5
2020-01-23,DANGEROUS DRUGS,63
2020-01-23,RAPE,2
2020-01-23,POSSESSION OF STOLEN PROPERTY,4
2020-01-23,OTHER STATE LAWS (NON PENAL LA,3
2020-01-23,FRAUDULENT ACCOSTING,1
2020-01-23,ROBBERY,38
2020-01-23,UNAUTHORIZED USE OF A VEHICLE,4
2020-01-23,CRIMINAL MISCHIEF & RELATED OF,114
2020-01-23,ASSAULT 3 & RELATED OFFENSES,122
2020-01-23,OFFENSES INVOLVING FRAUD,6
2020-01-23,FRAUDS,5
2020-01-23,INTOXICATED & IMPAIRED DRIVING,2
2020-01-23,SEX CRIMES,12
2020-01-23,FELONY ASSAULT,57
2020-01-23,THEFT OF SERVICES,1
2020-01-23,BURGLARY,47
2020-01-23,OFFENSES AGAINST PUBLIC ADMINI,13
2020-01-23,ARSON,2
2020-01-23,PETIT LARCENY,254
2020-01-23,MURDER & NON-NEGL. MANSLAUGHTER,3
2020-01-23,GAMBLING,1
2020-01-23,ADMINISTRATIVE CODE,2
2020-01-23,MISCELLANEOUS PENAL LAW,30
2020-01-23,GRAND LARCENY OF MOTOR VEHICLE,18
2020-01-23,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,1
2020-01-23,OFF. AGNST PUB ORD SENSBLTY &,52
2020-01-23,GRAND LARCENY,128
2020-01-24,UNAUTHORIZED USE OF A VEHICLE,7
2020-01-24,ASSAULT 3 & RELATED OFFENSES,128
2020-01-24,ADMINISTRATIVE CODE,3
2020-01-24,GRAND LARCENY OF MOTOR VEHICLE,16
2020-01-24,BURGLARY,50
2020-01-24,SEX CRIMES,15
2020-01-24,OFFENSES AGAINST THE PERSON,1
2020-01-24,ARSON,2
2020-01-24,FELONY SEX CRIMES,1
2020-01-24,OFF. AGNST PUB ORD SENSBLTY &,54
2020-01-24,VEHICLE AND TRAFFIC LAWS,17
2020-01-24,INTOXICATED & IMPAIRED DRIVING,18
2020-01-24,POSSESSION OF STOLEN PROPERTY,1
2020-01-24,ROBBERY,36
2020-01-24,THEFT-FRAUD,5
2020-01-24,NYS LAWS-UNCLASSIFIED FELONY,2
2020-01-24,OFFENSES INVOLVING FRAUD,2
2020-01-24,OFFENSES AGAINST PUBLIC ADMINI,17
2020-01-24,PETIT LARCENY,287
2020-01-24,CRIMINAL MISCHIEF & RELATED OF,132
2020-01-24,MISCELLANEOUS PENAL LAW,31
2020-01-24,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,1
2020-01-24,RAPE,4
2020-01-24,DANGEROUS DRUGS,55
2020-01-24,FRAUDS,3
2020-01-24,CRIMINAL TRESPASS,10
2020-01-24,FELONY ASSAULT,53
2020-01-24,OTHER OFFENSES RELATED TO THEF,1
2020-01-24,FORGERY,13
