date,location,new_confirmed,new_deceased,new_recovered,total_confirmed,total_deceased
2020-01-22,US_NY,0,0,0,0,0
2020-01-22,US_NY_NYC,0,0,0,0,0
2020-01-23,US_NY,0,0,0,0,0
2020-01-23,US_NY_NYC,0,0,0,0,0
2020-01-24,US_NY,0,0,0,0,0
2020-01-24,US_NY_NYC,0,0,0,0,0
2020-01-25,US_NY,0,0,0,0,0
2020-01-25,US_NY_NYC,0,0,0,0,0
2020-01-26,US_NY,0,0,0,0,0
2020-01-26,US_NY_NYC,0,0,0,0,0
2020-01-27,US_NY,0,0,0,0,0
2020-01-27,US_NY_NYC,0,0,0,0,0
2020-01-28,US_NY,0,0,0,0,0
2020-01-28,US_NY_NYC,0,0,0,0,0
2020-01-29,US_NY,0,0,0,0,0
2020-01-29,US_NY_NYC,0,0,0,0,0
2020-01-30,US_NY,0,0,0,0,0
2020-01-30,US_NY_NYC,0,0,0,0,0
2020-01-31,US_NY,0,0,0,0,0
2020-01-31,US_NY_NYC,0,0,0,0,0
2020-02-01,US_NY,0,0,0,0,0
2020-02-01,US_NY_NYC,0,0,0,0,0
2020-02-02,US_NY,0,0,0,0,0
2020-02-02,US_NY_NYC,0,0,0,0,0
2020-02-03,US_NY,0,0,0,0,0
2020-02-03,US_NY_NYC,0,0,0,0,0
2020-02-04,US_NY,0,0,0,0,0
2020-02-04,US_NY_NYC,0,0,0,0,0
2020-02-05,US_NY,0,0,0,0,0
2020-02-05,US_NY_NYC,0,0,0,0,0
2020-02-06,US_NY,0,0,0,0,0
2020-02-06,US_NY_NYC,0,0,0,0,0
2020-02-07,US_NY,0,0,0,0,0
2020-02-07,US_NY_NYC,0,0,0,0,0
2020-02-08,US_NY,0,0,0,0,0
2020-02-08,US_NY_NYC,0,0,0,0,0
2020-02-09,US_NY,0,0,0,0,0
2020-02-09,US_NY_NYC,0,0,0,0,0
2020-02-10,US_NY,0,0,0,0,0
2020-02-10,US_NY_NYC,0,0,0,0,0
2020-02-11,US_NY,0,0,0,0,0
2020-02-11,US_NY_NYC,0,0,0,0,0
2020-02-12,US_NY,0,0,0,0,0
2020-02-12,US_NY_NYC,0,0,0,0,0
2020-02-13,US_NY,0,0,0,0,0
